date,district,rainfall,temperature,humidity,opd_visits,ambulance_calls,idsp_cases,larval_index,medicine_stock,disease_cases,risk,disease
2024-01-28,Chennai,111,31,81,299,67,138.0,19,71,111,1,Dengue
2024-01-29,Chennai,45,28,78,158,31,,12,85,88,0,Flu
2024-01-30,Chennai,57,31,68,342,64,,12,66,75,1,Cholera
2024-01-31,Chennai,114,28,91,420,60,,20,58,206,1,Dengue
2024-02-01,Chennai,78,31,70,121,23,,14,88,57,1,Cholera
2024-02-02,Chennai,47,32,72,140,26,,11,86,83,0,Flu
2024-02-03,Chennai,63,30,85,201,58,,14,80,54,1,Cholera
2024-02-04,Chennai,114,31,85,405,105,,19,60,137,1,Dengue
2024-02-05,Chennai,52,31,62,582,143,,11,42,257,1,Respiratory Infection
2024-02-06,Chennai,120,30,82,213,54,,20,79,54,1,Dengue
2024-02-07,Chennai,95,27,75,399,68,155.0,17,61,197,1,Cholera
2024-02-08,Chennai,77,30,67,183,48,,14,82,88,1,Cholera
2024-02-09,Chennai,67,31,79,366,57,,14,64,182,1,Cholera
2024-02-10,Chennai,74,28,85,261,36,,15,74,71,1,Cholera
2024-02-11,Chennai,49,28,71,578,169,,12,43,270,1,Respiratory Infection
2024-02-12,Chennai,90,31,77,589,100,,16,42,211,1,Respiratory Infection
2024-02-13,Chennai,126,27,80,498,144,,20,51,214,1,Respiratory Infection
2024-02-14,Chennai,95,28,85,505,139,198.0,18,50,215,1,Dengue
2024-02-15,Chennai,111,30,79,361,93,,19,64,128,1,Cholera
2024-02-16,Chennai,106,27,78,570,124,,18,43,215,1,Respiratory Infection
2024-02-17,Chennai,10,27,90,343,79,,10,66,148,0,Typhoid
2024-02-18,Chennai,10,30,72,590,73,,8,41,353,1,Respiratory Infection
2024-02-19,Chennai,22,27,87,150,43,,10,85,48,0,Flu
2024-02-20,Chennai,141,30,62,106,15,,20,90,32,1,Cholera
2024-02-21,Chennai,64,27,91,306,55,143.0,15,70,174,1,Cholera
2024-02-22,Chennai,61,28,92,107,25,,15,90,53,1,Cholera
2024-02-23,Chennai,60,28,76,314,78,,13,69,168,1,Cholera
2024-02-24,Chennai,98,28,85,558,95,,18,45,229,1,Dengue
2024-02-25,Chennai,66,27,78,344,75,,14,66,80,1,Cholera
2024-02-26,Chennai,93,32,60,271,35,,15,73,141,1,Cholera
2024-02-27,Chennai,1,29,72,116,31,,7,89,64,0,Flu
2024-02-28,Chennai,54,30,71,504,137,160.0,12,50,101,1,Respiratory Infection
2024-02-29,Chennai,103,30,90,180,48,,19,82,76,1,Dengue
2024-03-01,Chennai,134,29,84,572,88,,21,43,323,1,Dengue
2024-03-02,Chennai,74,32,73,112,32,,14,89,57,1,Cholera
2024-03-03,Chennai,58,28,61,228,68,,11,78,97,1,Cholera
2024-03-04,Chennai,68,28,71,571,149,,13,43,203,1,Respiratory Infection
2024-03-05,Chennai,97,27,67,416,85,,16,59,235,1,Cholera
2024-03-06,Chennai,27,32,88,213,63,,11,79,63,0,Flu
2024-03-07,Chennai,82,31,94,416,98,123.0,17,59,169,1,Dengue
2024-03-08,Chennai,52,28,73,422,48,,12,58,210,1,Cholera
2024-03-09,Chennai,0,30,65,333,48,,6,67,75,0,Typhoid
2024-03-10,Chennai,67,30,68,523,132,,13,48,121,1,Respiratory Infection
2024-03-11,Chennai,43,32,70,231,24,,11,77,111,0,Flu
2024-03-12,Chennai,88,31,92,157,26,,18,85,80,1,Dengue
2024-03-13,Chennai,83,30,85,319,82,,16,69,173,1,Dengue
2024-03-14,Chennai,99,29,71,521,120,213.0,17,48,134,1,Respiratory Infection
2024-03-15,Chennai,73,32,84,263,39,,15,74,65,1,Cholera
2024-03-16,Chennai,93,28,94,344,51,,18,66,162,1,Dengue
2024-03-17,Chennai,18,30,92,334,67,,11,67,162,0,Typhoid
2024-03-18,Chennai,86,29,62,256,75,,14,75,95,1,Cholera
2024-03-19,Chennai,104,32,72,356,70,,17,65,179,1,Cholera
2024-03-20,Chennai,0,28,69,338,49,,6,67,84,0,Typhoid
2024-03-21,Chennai,128,29,86,530,96,205.0,21,47,173,1,Dengue
2024-03-22,Chennai,93,30,60,574,148,,15,43,157,1,Respiratory Infection
2024-03-23,Chennai,49,32,77,428,59,,12,58,192,0,Typhoid
2024-03-24,Chennai,0,27,64,119,26,,6,89,30,0,Flu
2024-03-25,Chennai,0,30,81,156,45,,8,85,66,0,Flu
2024-03-26,Chennai,82,32,89,511,89,,17,49,106,1,Dengue
2024-03-27,Chennai,81,31,61,112,33,,14,89,63,1,Cholera
2024-03-28,Chennai,116,31,83,288,62,96.0,19,72,74,1,Dengue
2024-03-29,Chennai,59,29,84,132,33,,14,87,27,1,Cholera
2024-03-30,Chennai,75,32,65,514,97,,14,49,108,1,Respiratory Infection
2024-03-31,Chennai,74,29,91,277,80,,16,73,107,1,Cholera
2024-04-01,Chennai,22,29,68,514,104,,9,49,194,1,Respiratory Infection
2024-04-02,Chennai,66,28,79,428,121,,14,58,104,1,Cholera
2024-04-03,Chennai,69,32,63,407,107,,13,60,224,1,Cholera
2024-04-04,Chennai,107,32,70,516,107,,17,49,245,1,Respiratory Infection
2024-04-05,Chennai,16,29,68,597,118,,8,41,303,1,Respiratory Infection
2024-04-06,Chennai,26,32,86,116,24,,11,89,50,0,Flu
2024-04-07,Chennai,25,29,81,299,66,76.0,10,71,132,0,Typhoid
2024-04-08,Chennai,80,30,85,308,44,,16,70,71,1,Cholera
2024-04-09,Chennai,49,30,64,418,116,,11,59,176,0,Typhoid
2024-04-10,Chennai,79,32,75,142,35,,15,86,57,1,Cholera
2024-04-11,Chennai,47,30,81,201,56,,12,80,83,0,Flu
2024-04-12,Chennai,67,27,92,549,96,,15,46,283,1,Respiratory Infection
2024-04-13,Chennai,30,27,92,141,21,,12,86,70,0,Flu
2024-04-14,Chennai,153,30,78,397,51,100.0,23,61,207,1,Cholera
2024-04-15,Chennai,68,31,67,526,133,,13,48,198,1,Respiratory Infection
2024-04-16,Chennai,34,29,86,269,66,,12,74,57,0,Typhoid
2024-04-17,Chennai,2,28,77,173,25,,7,83,100,0,Flu
2024-04-18,Chennai,75,32,93,521,53,,16,48,257,1,Respiratory Infection
2024-04-19,Chennai,46,30,78,348,96,,12,66,112,0,Typhoid
2024-04-20,Chennai,80,30,81,288,79,,16,72,64,1,Cholera
2024-04-21,Chennai,20,29,88,498,118,108.0,10,51,112,1,Respiratory Infection
2024-04-22,Chennai,50,31,91,474,53,,14,53,127,1,Respiratory Infection
2024-04-23,Chennai,108,30,87,146,17,,19,86,32,1,Dengue
2024-04-24,Chennai,47,28,71,541,152,,11,46,190,1,Respiratory Infection
2024-04-25,Chennai,100,30,81,512,147,,18,49,175,1,Dengue
2024-04-26,Chennai,51,29,88,373,88,,13,63,158,1,Cholera
2024-04-27,Chennai,58,28,78,496,53,,13,51,252,1,Respiratory Infection
2024-04-28,Chennai,99,29,69,135,28,62.0,16,87,67,1,Cholera
2024-04-29,Chennai,0,27,76,395,58,,7,61,220,0,Typhoid
2024-01-01,Coimbatore,15,31,72,259,72,,8,75,64,0,Typhoid
2024-01-02,Coimbatore,87,28,60,123,36,,14,88,40,1,Cholera
2024-01-03,Coimbatore,63,30,75,313,49,,13,69,84,1,Cholera
2024-01-04,Coimbatore,9,31,77,480,107,,8,52,99,1,Respiratory Infection
2024-01-05,Coimbatore,106,29,82,488,129,,18,52,207,1,Dengue
2024-01-06,Coimbatore,26,32,92,281,45,,11,72,110,0,Typhoid
2024-01-07,Coimbatore,55,27,73,455,121,168.0,12,55,128,1,Respiratory Infection
2024-01-08,Coimbatore,52,30,94,327,97,,14,68,157,1,Cholera
2024-01-09,Coimbatore,0,28,72,409,71,,7,60,203,0,Typhoid
2024-01-10,Coimbatore,78,27,84,337,88,,16,67,175,1,Cholera
2024-01-11,Coimbatore,2,29,71,572,137,,7,43,309,1,Respiratory Infection
2024-01-12,Coimbatore,107,29,74,255,66,,18,75,99,1,Cholera
2024-01-13,Coimbatore,83,32,81,166,18,,16,84,53,1,Dengue
2024-01-14,Coimbatore,108,29,69,514,86,144.0,17,49,148,1,Respiratory Infection
2024-01-15,Coimbatore,65,27,94,455,103,,15,55,221,1,Respiratory Infection
2024-01-16,Coimbatore,63,28,74,103,22,,13,90,51,1,Cholera
2024-01-17,Coimbatore,64,27,82,500,84,,14,50,226,1,Respiratory Infection
2024-01-18,Coimbatore,52,30,76,466,113,,12,54,113,1,Respiratory Infection
2024-01-19,Coimbatore,26,32,80,235,37,,10,77,134,0,Flu
2024-01-20,Coimbatore,90,27,89,122,14,,17,88,59,1,Dengue
2024-01-21,Coimbatore,19,32,91,158,37,47.0,11,85,54,0,Flu
2024-01-22,Coimbatore,51,29,93,341,58,,14,66,118,1,Cholera
2024-01-23,Coimbatore,101,31,91,319,74,,19,69,90,1,Dengue
2024-01-24,Coimbatore,82,32,94,368,68,,17,64,188,1,Dengue
2024-01-25,Coimbatore,93,27,71,397,87,,16,61,207,1,Cholera
2024-01-26,Coimbatore,123,27,60,283,28,,18,72,154,1,Cholera
2024-01-27,Coimbatore,66,30,93,229,56,,15,78,88,1,Cholera
2024-01-28,Coimbatore,56,29,84,444,123,91.0,14,56,108,1,Cholera
2024-01-29,Coimbatore,54,27,88,451,122,,14,55,166,1,Respiratory Infection
2024-01-30,Coimbatore,82,27,88,157,37,,17,85,53,1,Dengue
2024-01-31,Coimbatore,0,27,93,574,154,,9,43,332,1,Respiratory Infection
2024-02-01,Coimbatore,0,31,91,324,58,,9,68,91,0,Typhoid
2024-02-02,Coimbatore,65,32,66,223,41,,13,78,73,1,Cholera
2024-02-03,Coimbatore,69,29,64,300,67,,13,70,93,1,Cholera
2024-02-04,Coimbatore,63,27,74,418,80,,13,59,180,1,Cholera
2024-02-05,Coimbatore,116,31,75,464,125,,19,54,265,1,Respiratory Infection
2024-02-06,Coimbatore,46,32,84,589,153,,13,42,157,1,Respiratory Infection
2024-02-07,Coimbatore,4,31,88,345,40,71.0,9,66,99,0,Typhoid
2024-02-08,Coimbatore,130,27,75,397,84,,20,61,122,1,Cholera
2024-02-09,Coimbatore,72,31,84,408,99,,15,60,151,1,Cholera
2024-02-10,Coimbatore,158,31,67,425,119,,22,58,116,1,Cholera
2024-02-11,Coimbatore,152,30,60,229,65,,21,78,56,1,Cholera
2024-02-12,Coimbatore,94,28,91,499,113,,18,51,287,1,Dengue
2024-02-13,Coimbatore,93,28,94,176,27,,18,83,44,1,Dengue
2024-02-14,Coimbatore,97,31,92,551,98,219.0,18,45,246,1,Dengue
2024-02-15,Coimbatore,60,32,61,493,129,,12,51,108,1,Respiratory Infection
2024-02-16,Coimbatore,52,31,84,428,75,,13,58,141,1,Cholera
2024-02-17,Coimbatore,76,29,72,527,67,,14,48,238,1,Respiratory Infection
2024-02-18,Coimbatore,63,28,71,588,85,,13,42,293,1,Respiratory Infection
2024-02-19,Coimbatore,94,27,70,416,124,,16,59,143,1,Cholera
2024-02-20,Coimbatore,83,28,85,129,30,,16,88,53,1,Dengue
2024-02-21,Coimbatore,23,31,62,566,114,250.0,8,44,331,1,Respiratory Infection
2024-02-22,Coimbatore,0,29,93,195,45,,9,81,84,0,Flu
2024-02-23,Coimbatore,41,27,84,157,18,,12,85,44,0,Flu
2024-02-24,Coimbatore,61,27,90,594,116,,15,41,271,1,Respiratory Infection
2024-02-25,Coimbatore,43,30,75,356,67,,11,65,161,0,Typhoid
2024-02-26,Coimbatore,81,29,60,553,159,,14,45,213,1,Respiratory Infection
2024-02-27,Coimbatore,114,28,89,102,17,,20,90,35,1,Dengue
2024-02-28,Coimbatore,164,29,90,488,105,238.0,25,52,290,1,Dengue
2024-02-29,Coimbatore,25,29,62,110,13,,8,89,26,0,Flu
2024-03-01,Coimbatore,69,28,78,137,32,,14,87,56,1,Cholera
2024-03-02,Coimbatore,25,31,93,460,122,,11,54,142,1,Respiratory Infection
2024-03-03,Coimbatore,65,27,85,227,53,,15,78,47,1,Cholera
2024-03-04,Coimbatore,58,29,61,119,34,,11,89,35,1,Cholera
2024-03-05,Coimbatore,106,29,90,555,123,,19,45,165,1,Dengue
2024-03-06,Coimbatore,76,30,74,235,34,,15,77,69,1,Cholera
2024-03-07,Coimbatore,58,29,72,325,47,115.0,13,68,159,1,Cholera
2024-03-08,Coimbatore,125,28,63,352,54,,18,65,109,1,Cholera
2024-03-09,Coimbatore,76,30,94,594,163,,17,41,223,1,Respiratory Infection
2024-03-10,Coimbatore,69,27,77,304,46,,14,70,142,1,Cholera
2024-03-11,Coimbatore,129,28,60,334,75,,18,67,97,1,Cholera
2024-03-12,Coimbatore,5,29,65,252,47,,7,75,124,0,Typhoid
2024-03-13,Coimbatore,66,31,78,501,75,,14,50,274,1,Respiratory Infection
2024-03-14,Coimbatore,81,29,80,353,83,150.0,16,65,174,1,Cholera
2024-03-15,Coimbatore,106,32,83,214,36,,18,79,122,1,Dengue
2024-03-16,Coimbatore,40,32,60,320,53,,10,68,121,0,Typhoid
2024-03-17,Coimbatore,27,29,93,107,17,,12,90,36,0,Flu
2024-03-18,Coimbatore,39,31,87,165,21,,12,84,98,0,Flu
2024-03-19,Coimbatore,52,31,73,282,56,,12,72,144,1,Cholera
2024-03-20,Coimbatore,105,28,76,416,104,,18,59,246,1,Cholera
2024-03-21,Coimbatore,3,30,66,443,127,124.0,6,56,237,0,Typhoid
2024-03-22,Coimbatore,87,29,66,579,106,,15,43,272,1,Respiratory Infection
2024-03-23,Coimbatore,64,31,61,341,34,,12,66,100,1,Cholera
2024-03-24,Coimbatore,50,28,70,119,23,,12,89,32,0,Flu
2024-03-25,Coimbatore,80,32,80,330,33,,16,67,148,1,Cholera
2024-03-26,Coimbatore,77,32,74,170,34,,15,83,95,1,Cholera
2024-03-27,Coimbatore,120,31,84,119,35,,20,89,43,1,Dengue
2024-03-28,Coimbatore,111,27,78,458,134,183.0,18,55,132,1,Respiratory Infection
2024-03-29,Coimbatore,11,29,61,226,38,,7,78,91,0,Flu
2024-03-30,Coimbatore,67,27,71,125,30,,13,88,40,1,Cholera
2024-03-31,Coimbatore,68,28,77,340,62,,14,66,165,1,Cholera
2024-04-01,Coimbatore,47,32,71,539,153,,11,47,300,1,Respiratory Infection
2024-04-02,Coimbatore,67,30,89,415,104,,15,59,190,1,Cholera
2024-04-03,Coimbatore,31,27,85,114,22,,11,89,33,0,Flu
2024-04-04,Coimbatore,101,32,72,251,61,,17,75,130,1,Cholera
2024-04-05,Coimbatore,60,31,71,165,34,,13,84,49,1,Cholera
2024-04-06,Coimbatore,5,30,90,229,39,,9,78,86,0,Flu
2024-04-07,Coimbatore,50,28,80,105,21,33.0,13,90,24,0,Flu
2024-04-08,Coimbatore,53,28,84,294,51,,13,71,87,1,Cholera
2024-04-09,Coimbatore,60,27,60,375,58,,12,63,123,1,Cholera
2024-04-10,Coimbatore,37,31,73,213,62,,11,79,44,0,Flu
2024-04-11,Coimbatore,85,28,61,220,61,,14,78,96,1,Cholera
2024-04-12,Coimbatore,104,27,73,116,29,,17,89,34,1,Cholera
2024-04-13,Coimbatore,171,30,60,585,162,,23,42,263,1,Respiratory Infection
2024-04-14,Coimbatore,15,32,66,377,66,91.0,8,63,128,0,Typhoid
2024-04-15,Coimbatore,19,29,75,536,103,,9,47,245,1,Respiratory Infection
2024-04-16,Coimbatore,103,28,90,326,51,,19,68,127,1,Dengue
2024-04-17,Coimbatore,15,27,76,591,65,,9,41,190,1,Respiratory Infection
2024-04-18,Coimbatore,121,28,93,166,34,,21,84,85,1,Dengue
2024-04-19,Coimbatore,63,28,81,523,131,,14,48,304,1,Respiratory Infection
2024-04-20,Coimbatore,2,30,62,122,20,,6,88,65,0,Flu
2024-04-21,Coimbatore,95,28,69,300,60,69.0,16,70,73,1,Cholera
2024-04-22,Coimbatore,53,29,86,127,25,,13,88,36,1,Cholera
2024-04-23,Coimbatore,9,28,89,233,67,,9,77,116,0,Flu
2024-04-24,Coimbatore,63,30,67,444,128,,13,56,118,1,Cholera
2024-04-25,Coimbatore,76,32,64,370,88,,14,63,215,1,Cholera
2024-04-26,Coimbatore,60,29,80,397,112,,14,61,160,1,Cholera
2024-04-27,Coimbatore,77,28,91,227,34,,16,78,113,1,Cholera
2024-04-28,Coimbatore,74,30,71,147,39,33.0,14,86,44,1,Cholera
2024-04-29,Coimbatore,73,27,76,184,25,,14,82,40,1,Cholera
2024-01-01,Madurai,3,32,74,375,93,,7,63,146,0,Typhoid
2024-01-02,Madurai,79,28,90,109,27,,16,90,44,1,Cholera
2024-01-03,Madurai,62,32,85,232,24,,14,77,116,1,Cholera
2024-01-04,Madurai,58,31,88,382,82,,14,62,162,1,Cholera
2024-01-05,Madurai,98,32,93,187,30,,19,82,106,1,Dengue
2024-01-06,Madurai,47,29,75,580,94,,12,42,240,1,Respiratory Infection
2024-01-07,Madurai,91,31,80,153,37,70.0,17,85,59,1,Cholera
2024-01-08,Madurai,128,28,72,519,79,,20,49,213,1,Respiratory Infection
2024-01-09,Madurai,59,30,77,453,122,,13,55,192,1,Respiratory Infection
2024-01-10,Madurai,28,29,87,131,28,,11,87,58,0,Flu
2024-01-11,Madurai,28,32,93,137,27,,12,87,35,0,Flu
2024-01-12,Madurai,2,30,72,417,122,,7,59,133,0,Typhoid
2024-01-13,Madurai,127,32,83,173,19,,21,83,59,1,Dengue
2024-01-14,Madurai,37,28,72,234,67,48.0,10,77,70,0,Flu
2024-01-15,Madurai,61,30,72,528,139,,13,48,175,1,Respiratory Infection
2024-01-16,Madurai,114,32,65,217,51,,17,79,51,1,Cholera
2024-01-17,Madurai,30,31,82,266,62,,11,74,60,0,Typhoid
2024-01-18,Madurai,76,28,69,498,124,,14,51,287,1,Respiratory Infection
2024-01-19,Madurai,51,29,75,565,97,,12,44,264,1,Respiratory Infection
2024-01-20,Madurai,0,30,79,309,44,,7,70,179,0,Typhoid
2024-01-21,Madurai,109,27,85,497,91,132.0,19,51,121,1,Dengue
2024-01-22,Madurai,55,32,94,392,97,,14,61,102,1,Cholera
2024-01-23,Madurai,0,27,81,310,53,,8,69,71,0,Typhoid
2024-01-24,Madurai,82,30,74,154,42,,15,85,90,1,Cholera
2024-01-25,Madurai,140,29,74,568,98,,21,44,289,1,Respiratory Infection
2024-01-26,Madurai,80,32,68,498,136,,14,51,225,1,Respiratory Infection
2024-01-27,Madurai,41,29,89,268,50,,13,74,119,0,Typhoid
2024-01-28,Madurai,130,27,92,454,130,165.0,22,55,164,1,Dengue
2024-01-29,Madurai,27,31,65,373,42,,9,63,207,0,Typhoid
2024-01-30,Madurai,75,28,84,115,33,,15,89,66,1,Cholera
2024-01-31,Madurai,0,28,86,570,89,,8,43,128,1,Respiratory Infection
2024-02-01,Madurai,68,29,77,223,37,,14,78,116,1,Cholera
2024-02-02,Madurai,108,28,62,539,54,,17,47,175,1,Respiratory Infection
2024-02-03,Madurai,85,31,71,489,116,,15,52,242,1,Respiratory Infection
2024-02-04,Madurai,75,31,63,162,43,,13,84,90,1,Cholera
2024-02-05,Madurai,19,32,89,241,44,,10,76,127,0,Flu
2024-02-06,Madurai,57,30,80,416,109,,13,59,95,1,Cholera
2024-02-07,Madurai,68,28,81,499,134,105.0,14,51,172,1,Respiratory Infection
2024-02-08,Madurai,77,32,81,395,93,,15,61,175,1,Cholera
2024-02-09,Madurai,22,32,66,384,91,,8,62,185,0,Typhoid
2024-02-10,Madurai,91,30,71,227,29,,16,78,133,1,Cholera
2024-02-11,Madurai,5,27,82,321,50,,8,68,159,0,Typhoid
2024-02-12,Madurai,82,29,69,174,31,,15,83,65,1,Cholera
2024-02-13,Madurai,75,32,67,249,63,,14,76,73,1,Cholera
2024-02-14,Madurai,12,32,74,544,136,264.0,8,46,218,1,Respiratory Infection
2024-02-15,Madurai,109,30,91,400,84,,20,60,191,1,Dengue
2024-02-16,Madurai,73,27,92,547,102,,16,46,235,1,Respiratory Infection
2024-02-17,Madurai,14,31,61,475,52,,7,53,268,1,Respiratory Infection
2024-02-18,Madurai,82,29,88,453,92,,17,55,109,1,Dengue
2024-02-19,Madurai,43,31,90,447,59,,13,56,112,0,Typhoid
2024-02-20,Madurai,89,29,74,523,102,,16,48,309,1,Respiratory Infection
2024-02-21,Madurai,59,30,73,521,98,172.0,13,48,290,1,Respiratory Infection
2024-02-22,Madurai,95,29,72,122,15,,16,88,25,1,Cholera
2024-02-23,Madurai,86,32,90,582,166,,17,42,118,1,Dengue
2024-02-24,Madurai,96,30,80,505,79,,17,50,142,1,Respiratory Infection
2024-02-25,Madurai,101,29,67,503,143,,16,50,143,1,Respiratory Infection
2024-02-26,Madurai,88,32,76,275,74,,16,73,76,1,Cholera
2024-02-27,Madurai,31,30,92,440,87,,12,56,99,0,Typhoid
2024-02-28,Madurai,52,28,73,491,111,210.0,12,51,254,1,Respiratory Infection
2024-02-29,Madurai,100,28,84,454,76,,18,55,147,1,Dengue
2024-03-01,Madurai,0,32,74,383,51,,7,62,185,0,Typhoid
2024-03-02,Madurai,91,28,65,511,141,,15,49,194,1,Respiratory Infection
2024-03-03,Madurai,86,32,79,577,107,,16,43,120,1,Respiratory Infection
2024-03-04,Madurai,46,32,75,469,108,,12,54,245,1,Respiratory Infection
2024-03-05,Madurai,114,30,67,147,19,,18,86,31,1,Cholera
2024-03-06,Madurai,85,30,66,301,40,,15,70,91,1,Cholera
2024-03-07,Madurai,15,27,71,242,30,72.0,8,76,73,0,Flu
2024-03-08,Madurai,116,31,72,529,106,,18,48,277,1,Respiratory Infection
2024-03-09,Madurai,49,27,82,585,80,,13,42,147,1,Respiratory Infection
2024-03-10,Madurai,74,29,78,478,75,,15,53,230,1,Respiratory Infection
2024-03-11,Madurai,65,29,78,389,52,,14,62,198,1,Cholera
2024-03-12,Madurai,32,29,72,102,21,,10,90,56,0,Flu
2024-03-13,Madurai,65,30,86,108,20,,15,90,60,1,Cholera
2024-03-14,Madurai,47,28,85,300,30,143.0,13,70,163,0,Typhoid
2024-03-15,Madurai,38,31,74,361,50,,11,64,140,0,Typhoid
2024-03-16,Madurai,110,31,70,471,114,,18,53,172,1,Respiratory Infection
2024-03-17,Madurai,24,27,68,109,17,,9,90,47,0,Flu
2024-03-18,Madurai,42,29,71,290,54,,11,71,84,0,Typhoid
2024-03-19,Madurai,43,29,81,195,19,,12,81,85,0,Flu
2024-03-20,Madurai,14,32,75,110,18,,8,89,51,0,Flu
2024-03-21,Madurai,0,28,94,363,39,86.0,9,64,101,0,Typhoid
2024-03-22,Madurai,95,28,68,564,134,,16,44,321,1,Respiratory Infection
2024-03-23,Madurai,82,28,64,179,44,,14,83,69,1,Cholera
2024-03-24,Madurai,90,31,62,106,12,,15,90,52,1,Cholera
2024-03-25,Madurai,85,27,90,306,64,,17,70,107,1,Dengue
2024-03-26,Madurai,80,32,81,424,55,,16,58,197,1,Cholera
2024-03-27,Madurai,23,32,76,422,85,,9,58,187,0,Typhoid
2024-03-28,Madurai,20,28,71,307,74,147.0,9,70,128,0,Typhoid
2024-03-29,Madurai,88,29,65,476,82,,15,53,189,1,Respiratory Infection
2024-03-30,Madurai,98,28,61,405,85,,15,60,162,1,Cholera
2024-03-31,Madurai,0,29,71,414,53,,7,59,186,0,Typhoid
2024-04-01,Madurai,21,29,91,157,44,,11,85,48,0,Flu
2024-04-02,Madurai,112,29,78,374,42,,19,63,151,1,Cholera
2024-04-03,Madurai,86,28,78,437,61,,16,57,122,1,Cholera
2024-04-04,Madurai,117,27,78,591,89,,19,41,326,1,Respiratory Infection
2024-04-05,Madurai,64,30,91,275,31,,15,73,114,1,Cholera
2024-04-06,Madurai,65,27,79,418,50,,14,59,127,1,Cholera
2024-04-07,Madurai,11,32,88,524,78,146.0,9,48,188,1,Respiratory Infection
2024-04-08,Madurai,65,32,64,533,129,,12,47,211,1,Respiratory Infection
2024-04-09,Madurai,34,32,81,389,109,,11,62,227,0,Typhoid
2024-04-10,Madurai,12,32,67,400,103,,7,60,226,0,Typhoid
2024-04-11,Madurai,27,32,90,376,97,,11,63,177,0,Typhoid
2024-04-12,Madurai,37,27,66,130,27,,10,87,47,0,Flu
2024-04-13,Madurai,20,29,92,541,113,,11,46,288,1,Respiratory Infection
2024-04-14,Madurai,58,32,75,579,132,214.0,13,43,312,1,Respiratory Infection
2024-04-15,Madurai,12,28,70,240,26,,8,76,53,0,Flu
2024-04-16,Madurai,91,31,87,449,133,,17,56,206,1,Dengue
2024-04-17,Madurai,117,30,71,498,130,,18,51,234,1,Respiratory Infection
2024-04-18,Madurai,122,30,91,260,71,,21,74,97,1,Dengue
2024-04-19,Madurai,112,28,62,322,48,,17,68,69,1,Cholera
2024-04-20,Madurai,49,32,72,202,55,,12,80,69,0,Flu
2024-04-21,Madurai,84,30,82,258,27,68.0,16,75,89,1,Dengue
2024-04-22,Madurai,42,29,85,328,33,,12,68,169,0,Typhoid
2024-04-23,Madurai,86,28,72,464,55,,15,54,250,1,Respiratory Infection
2024-04-24,Madurai,0,29,64,587,99,,6,42,182,1,Respiratory Infection
2024-04-25,Madurai,140,27,67,395,78,,20,61,125,1,Cholera
2024-04-26,Madurai,23,30,75,253,42,,9,75,78,0,Typhoid
2024-04-27,Madurai,44,32,91,170,31,,13,83,71,0,Flu
2024-04-28,Madurai,101,32,87,113,15,42.0,18,89,25,1,Dengue
2024-04-29,Madurai,55,30,76,214,63,,13,79,101,1,Cholera
2024-01-01,Salem,8,33,88,466,90,,9,54,152,1,Respiratory Infection
2024-01-02,Salem,91,31,72,125,20,,16,88,72,1,Cholera
2024-01-03,Salem,130,31,66,224,44,,19,78,63,1,Cholera
2024-01-04,Salem,80,30,89,219,23,,16,79,82,1,Cholera
